,id,time,mood,weekday,sun,rain,max_temp,total_appuse,activity,circumplex.arousal,circumplex.valence,mood_lag1,mood_lag2,mood_lag3,mood_lag4,circumplex.arousal_lag1,circumplex.arousal_lag2,circumplex.arousal_lag3,circumplex.valence_lag1,circumplex.valence_lag2,circumplex.valence_lag3
6,AS14.01,648.0,0.5921052631578947,0.16666666666666666,0.6040268456375839,0.0,0.17703349282296654,0.17473318401338908,0.13976158714769427,0.625,0.5384615384615385,0.4736842105263158,0.6000000000000001,0.5368421052631579,0.5052631578947369,0.7,0.55,0.65,0.38461538461538464,0.6307692307692307,0.5384615384615385
7,AS14.01,672.0,0.5684210526315789,0.3333333333333333,0.2953020134228188,0.032,0.08133971291866028,0.2093931330232041,0.12735463015073956,0.45,0.5692307692307692,0.5921052631578947,0.4736842105263158,0.6000000000000001,0.5368421052631579,0.625,0.7,0.55,0.5384615384615385,0.38461538461538464,0.6307692307692307
8,AS14.01,696.0,0.631578947368421,0.5,0.5637583892617449,0.024,0.32057416267942584,0.1688565933480339,0.15598588482835202,0.55,0.6307692307692307,0.5684210526315789,0.5921052631578947,0.4736842105263158,0.6000000000000001,0.45,0.625,0.7,0.5692307692307692,0.5384615384615385,0.38461538461538464
9,AS14.01,720.0,0.5368421052631579,0.6666666666666666,0.7718120805369127,0.0,0.4641148325358852,0.19763977959956947,0.1312108997248607,0.35,0.5692307692307692,0.631578947368421,0.5684210526315789,0.5921052631578947,0.4736842105263158,0.55,0.45,0.625,0.6307692307692307,0.5692307692307692,0.5384615384615385
10,AS14.01,744.0,0.7894736842105263,0.8333333333333333,0.6979865771812079,0.0,0.5645933014354066,0.19229719056991268,0.12413380561421122,0.55,0.6923076923076923,0.5368421052631579,0.631578947368421,0.5684210526315789,0.5921052631578947,0.35,0.55,0.45,0.5692307692307692,0.6307692307692307,0.5692307692307692
11,AS14.01,768.0,0.7105263157894737,1.0,0.3959731543624161,0.0,0.6124401913875598,0.21897026912660475,0.08935258313613444,0.375,0.6153846153846154,0.7894736842105263,0.5368421052631579,0.631578947368421,0.5684210526315789,0.55,0.35,0.55,0.6923076923076923,0.5692307692307692,0.6307692307692307
12,AS14.01,792.0,0.6947368421052633,0.0,0.4966442953020134,0.0,0.6220095693779903,0.167254289910822,0.12832482482236085,0.5,0.5692307692307692,0.7105263157894737,0.7894736842105263,0.5368421052631579,0.631578947368421,0.375,0.55,0.35,0.6153846153846154,0.6923076923076923,0.5692307692307692
13,AS14.01,816.0,0.4736842105263158,0.16666666666666666,0.5503355704697986,0.0,0.5645933014354066,0.1830381557561088,0.16281811934290402,0.55,0.38461538461538464,0.6947368421052633,0.7105263157894737,0.7894736842105263,0.5368421052631579,0.5,0.375,0.55,0.5692307692307692,0.6153846153846154,0.6923076923076923
14,AS14.01,840.0,0.5526315789473684,0.3333333333333333,0.4630872483221477,0.0,0.5693779904306221,0.1872524146492207,0.1854952415439796,0.5833333333333334,0.5897435897435898,0.4736842105263158,0.6947368421052633,0.7105263157894737,0.7894736842105263,0.55,0.5,0.375,0.38461538461538464,0.5692307692307692,0.6153846153846154
15,AS14.01,864.0,0.5368421052631579,0.5,0.5436241610738255,0.0,0.6842105263157895,0.16330414902238932,0.08961740712444216,0.2,0.38461538461538464,0.5526315789473684,0.4736842105263158,0.6947368421052633,0.7105263157894737,0.5833333333333334,0.55,0.5,0.5897435897435898,0.38461538461538464,0.5692307692307692
